Route_name,Route_link
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
Patiala to Amritsar,https://www.redbus.in/bus-tickets/patiala-to-amritsar
Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
Chandigarh to Bathinda,https://www.redbus.in/bus-tickets/chandigarh-to-bathinda
Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
Amritsar to Patiala,https://www.redbus.in/bus-tickets/amritsar-to-patiala
Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
Delhi Airport to Phagwara,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara
